,date,username,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
0,2022-04-06 06:59:54,masaan64,bosgenk ada apa ada taggar,"['bosgenk', 'ada', 'apa', 'ada', 'taggar']","['bosgenk', 'taggar']","['bosgenk', 'taggar']"
1,2022-04-06 06:59:27,RBugeh,bosgenk sssst,"['bosgenk', 'sssst']","['bosgenk', 'sssst']","['bosgenk', 'sssst']"
2,2022-04-06 06:58:56,OmegaF1998,ak jangan biarkan mahasiswa bergerak sendirian rakyat buruh dan stm bersatulah dalam barisan,"['ak', 'jangan', 'biarkan', 'mahasiswa', 'bergerak', 'sendirian', 'rakyat', 'buruh', 'dan', 'stm', 'bersatulah', 'dalam', 'barisan']","['ak', 'biarkan', 'mahasiswa', 'bergerak', 'rakyat', 'buruh', 'stm', 'bersatulah', 'barisan']","['ak', 'biar', 'mahasiswa', 'gerak', 'rakyat', 'buruh', 'stm', 'satu', 'baris']"
3,2022-04-06 06:56:40,Aki_jupi,two period been long can wait anymore,"['two', 'period', 'been', 'long', 'can', 'wait', 'anymore']","['two', 'period', 'been', 'long', 'can', 'wait', 'anymore']","['two', 'period', 'been', 'long', 'can', 'wait', 'anymore']"
4,2022-04-06 06:56:37,mhbmuhib17,era jokowi nasakom dihidupkan kembali islam dan ummat islam disingkirkan dakwah dan ajaran islam dipelintir menjadi islam nusantara ulama dan tokoh islam dipenjarakan saatnya revolusi rakyat menghacurkan rezim jokowi tirani,"['era', 'jokowi', 'nasakom', 'dihidupkan', 'kembali', 'islam', 'dan', 'ummat', 'islam', 'disingkirkan', 'dakwah', 'dan', 'ajaran', 'islam', 'dipelintir', 'menjadi', 'islam', 'nusantara', 'ulama', 'dan', 'tokoh', 'islam', 'dipenjarakan', 'saatnya', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'tirani']","['era', 'jokowi', 'nasakom', 'dihidupkan', 'islam', 'ummat', 'islam', 'disingkirkan', 'dakwah', 'ajaran', 'islam', 'dipelintir', 'islam', 'nusantara', 'ulama', 'tokoh', 'islam', 'dipenjarakan', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'tirani']","['era', 'jokowi', 'nasakom', 'hidup', 'islam', 'ummat', 'islam', 'singkir', 'dakwah', 'ajar', 'islam', 'pelintir', 'islam', 'nusantara', 'ulama', 'tokoh', 'islam', 'penjara', 'revolusi', 'rakyat', 'menghacurkan', 'rezim', 'jokowi', 'tirani']"
5,2022-04-06 06:56:19,thaufiki1989,,[''],[''],['']
6,2022-04-06 06:52:35,CingAlung,,[''],[''],['']
7,2022-04-06 06:51:09,zeinvey,of,['of'],['of'],['of']
8,2022-04-06 06:49:44,fcm_hasbi,hampir tiap hari ada trand minta mundurr tapi sampai saat ini seperti ngak dihiraukan apa dia tdk tahu atau pura pura tdk tahu,"['hampir', 'tiap', 'hari', 'ada', 'trand', 'minta', 'mundurr', 'tapi', 'sampai', 'saat', 'ini', 'seperti', 'ngak', 'dihiraukan', 'apa', 'dia', 'tdk', 'tahu', 'atau', 'pura', 'pura', 'tdk', 'tahu']","['trand', 'mundurr', 'ngak', 'dihiraukan', 'tdk', 'pura', 'pura', 'tdk']","['trand', 'mundurr', 'ngak', 'hirau', 'tdk', 'pura', 'pura', 'tdk']"
9,2022-04-06 06:46:40,Sagarageni,silalahi satu bangsa satu tanah air satu kata,"['silalahi', 'satu', 'bangsa', 'satu', 'tanah', 'air', 'satu', 'kata']","['silalahi', 'bangsa', 'tanah', 'air']","['silalahi', 'bangsa', 'tanah', 'air']"
10,2022-04-06 06:46:04,_Zakkkkkkk,jadi giniii nah iya gitu emote batu mana nii,"['jadi', 'giniii', 'nah', 'iya', 'gitu', 'emote', 'batu', 'mana', 'nii']","['giniii', 'iya', 'gitu', 'emote', 'batu', 'nii']","['giniii', 'iya', 'gitu', 'emote', 'batu', 'nii']"
11,2022-04-06 06:45:48,Ichan_Pitoeng,felis,['felis'],['felis'],['felis']
12,2022-04-06 06:45:36,gendagenda13,,[''],[''],['']
13,2022-04-06 06:45:31,DikibulinMas,aamiiin rob mdh mak,"['aamiiin', 'rob', 'mdh', 'mak']","['aamiiin', 'rob', 'mdh', 'mak']","['aamiiin', 'rob', 'mdh', 'mak']"
14,2022-04-06 06:45:13,CingAlung,qobbull,['qobbull'],['qobbull'],['qobbull']
15,2022-04-06 06:44:29,CingAlung,,[''],[''],['']
16,2022-04-06 06:44:26,rankmudo5,agar semua berjalan normal kembali,"['agar', 'semua', 'berjalan', 'normal', 'kembali']","['berjalan', 'normal']","['jalan', 'normal']"
17,2022-04-06 06:43:18,febrianallib,kompromi aksi reformasi,"['kompromi', 'aksi', 'reformasi']","['kompromi', 'aksi', 'reformasi']","['kompromi', 'aksi', 'reformasi']"
18,2022-04-06 06:43:06,GusKevin4,silalahi turunkan jokowi,"['silalahi', 'turunkan', 'jokowi']","['silalahi', 'turunkan', 'jokowi']","['silalahi', 'turun', 'jokowi']"
19,2022-04-06 06:42:54,Hendri0692,semua pada naik,"['semua', 'pada', 'naik']",[],[]
20,2022-04-06 06:42:49,OmegaF1998,musuh kita bukan ras dan agama yang berbeda tapi penguasa zalim yang akan menghancurkan kedamaian dunia,"['musuh', 'kita', 'bukan', 'ras', 'dan', 'agama', 'yang', 'berbeda', 'tapi', 'penguasa', 'zalim', 'yang', 'akan', 'menghancurkan', 'kedamaian', 'dunia']","['musuh', 'ras', 'agama', 'berbeda', 'penguasa', 'zalim', 'menghancurkan', 'kedamaian', 'dunia']","['musuh', 'ras', 'agama', 'beda', 'kuasa', 'zalim', 'hancur', 'damai', 'dunia']"
21,2022-04-06 06:41:26,naufalyasir98,,[''],[''],['']
